"p_max-rfile"
"Iteration" "p_max"
("Iteration" "p_max")
3000 165779.9
3001 165763.6
3002 165746.9
3003 165729.9
3004 165712.4
3005 165694.5
3006 165676.1
3007 165657.2
3008 165637.5
3009 165617.2
3010 165596
3011 165574
3012 165551.1
3013 165527.2
3014 165502.1
3015 165475.8
3016 165448.3
3017 165419.4
3018 165389
3019 165357.1
3020 165323.6
3021 165288.3
3022 165251.2
3023 165212.2
3024 165171.1
3025 165127.8
3026 165082.4
3027 165034.5
3028 164984.2
3029 164931.4
3030 164875.9
3031 164817.6
3032 164756.6
3033 164692.6
3034 164625.7
3035 164555.7
3036 164482.8
3037 164406.8
3038 164327.7
3039 164245.6
3040 164160.4
3041 164072.3
3042 164085.7
3043 164115.5
3044 164144
3045 164171.2
3046 164196.6
3047 164218.2
3048 164238.4
3049 164257
3050 164273.9
3051 164296.7
3052 164353.1
3053 164408.8
3054 164463.6
3055 164517.4
3056 164570.2
3057 164621.7
3058 164671.8
3059 164720.4
3060 164767.3
3061 164812.4
3062 164855.5
3063 164896.4
3064 164934.4
3065 164967.2
3066 164997.5
3067 165032.1
3068 165115.4
3069 165197.8
3070 165279.2
3071 165359.5
3072 165438.4
3073 165515.9
3074 165591.8
3075 165665.9
3076 165738.1
3077 165808.2
3078 165876.1
3079 165941.6
3080 166004.5
3081 166064.7
3082 166122
3083 166176.4
3084 166227.6
3085 166275.7
3086 166320.3
3087 166361.5
3088 166399.3
3089 166433.4
3090 166463.9
3091 166490.7
3092 166513.9
3093 166532.7
3094 166545.6
3095 166555.3
3096 166562
3097 166565.4
3098 166565.6
3099 166562.6
3100 166556.4
3101 166547
3102 166534.6
3103 166519.2
3104 166501.1
3105 166480.3
3106 166457.2
3107 166431.7
3108 166404.4
3109 166375.2
3110 166344.5
3111 166312.4
3112 166279.3
3113 166245.2
3114 166210.5
3115 166175.4
3116 166140.1
3117 166104.8
3118 166069.8
3119 166035.2
3120 166001.2
3121 165968
3122 165935.9
3123 165905
