"cd-rplot"
"Iteration" "cd"
("Iteration" "cd")
3199 1.494354
3200 1.493694
3201 1.491984
3202 1.490257
3203 1.488512
3204 1.48675
3205 1.484975
3206 1.483185
3207 1.481381
3208 1.479565
3209 1.477738
3210 1.475898
3211 1.474043
3212 1.47218
3213 1.470304
3214 1.468418
3215 1.466524
3216 1.464616
3217 1.462699
3218 1.460773
3219 1.458839
3220 1.456895
3221 1.454939
3222 1.452979
3223 1.451011
3224 1.44903
3225 1.447051
3226 1.44506
3227 1.443063
3228 1.441062
3229 1.439054
3230 1.437041
3231 1.435022
3232 1.432997
3233 1.430971
3234 1.42894
3235 1.426907
3236 1.424869
3237 1.422826
3238 1.420783
3239 1.418735
3240 1.416688
3241 1.414638
3242 1.412586
3243 1.410536
3244 1.408481
3245 1.406424
3246 1.40437
3247 1.402315
3248 1.40026
3249 1.398204
3250 1.39615
3251 1.394093
3252 1.392043
3253 1.389988
3254 1.387935
3255 1.385884
3256 1.383835
3257 1.381789
3258 1.379741
3259 1.377696
3260 1.375653
3261 1.373613
3262 1.371573
3263 1.369537
3264 1.367504
3265 1.365474
3266 1.363446
3267 1.36142
3268 1.359399
3269 1.35738
3270 1.355362
3271 1.353353
3272 1.351345
3273 1.34934
3274 1.347338
3275 1.345342
3276 1.343349
3277 1.341362
3278 1.341172
3279 1.340973
3280 1.340724
3281 1.340413
3282 1.340102
3283 1.339713
3284 1.339228
3285 1.338622
3286 1.337864
3287 1.336964
3288 1.335951
3289 1.334819
3290 1.333572
3291 1.332211
3292 1.330735
3293 1.329265
3294 1.327796
3295 1.326332
3296 1.32487
3297 1.323412
3298 1.321954
3299 1.320504
3300 1.319054
3301 1.31744
3302 1.315831
3303 1.314227
3304 1.312628
3305 1.311031
3306 1.309441
3307 1.307854
3308 1.306273
3309 1.3047
3310 1.303127
3311 1.301563
3312 1.300001
3313 1.29845
3314 1.296899
3315 1.295356
3316 1.293818
3317 1.292287
3318 1.29076
3319 1.28924
3320 1.287726
3321 1.286219
3322 1.284718
3323 1.283221
3324 1.281734
3325 1.280253
3326 1.278778
3327 1.277309
3328 1.275846
3329 1.274392
3330 1.272944
3331 1.271223
3332 1.269512
3333 1.267816
3334 1.266128
3335 1.264452
3336 1.262787
3337 1.261134
3338 1.25949
3339 1.257862
3340 1.256243
3341 1.254638
3342 1.253045
3343 1.251464
3344 1.249895
3345 1.248338
3346 1.246795
3347 1.245264
3348 1.243747
3349 1.242246
3350 1.240756
3351 1.23928
3352 1.237822
3353 1.236374
3354 1.23494
3355 1.233523
3356 1.232122
3357 1.230735
3358 1.229362
3359 1.228008
3360 1.226667
3361 1.224987
3362 1.223332
3363 1.221705
3364 1.220109
3365 1.218537
3366 1.216995
3367 1.215482
3368 1.214
3369 1.212545
3370 1.211122
3371 1.209731
3372 1.208369
3373 1.207041
3374 1.205744
3375 1.204478
3376 1.203247
3377 1.202048
3378 1.200884
3379 1.199755
3380 1.198656
3381 1.197597
3382 1.196575
3383 1.195584
3384 1.194635
3385 1.193721
3386 1.192844
3387 1.192004
3388 1.191203
3389 1.190438
3390 1.189714
3391 1.188836
3392 1.188032
3393 1.187299
3394 1.18664
3395 1.186052
3396 1.185542
3397 1.185107
3398 1.184743
3399 1.184456
3400 1.184242
3401 1.184099
3402 1.184036
3403 1.184044
3404 1.184129
3405 1.184288
3406 1.18452
3407 1.184821
3408 1.185197
3409 1.185641
3410 1.186155
3411 1.18674
3412 1.187392
3413 1.188114
3414 1.188901
3415 1.189751
3416 1.190667
3417 1.191643
3418 1.192682
3419 1.193778
3420 1.194931
3421 1.196542
3422 1.198237
3423 1.200015
3424 1.201871
3425 1.203801
3426 1.205797
3427 1.207862
3428 1.20999
3429 1.212172
3430 1.214406
3431 1.216689
3432 1.21902
3433 1.22139
3434 1.223799
3435 1.226238
3436 1.228704
3437 1.231196
3438 1.233707
3439 1.236238
3440 1.238782
3441 1.241336
3442 1.243895
3443 1.246454
3444 1.249014
3445 1.25157
3446 1.254117
3447 1.256655
3448 1.259178
3449 1.261686
3450 1.264173
3451 1.266641
3452 1.269083
3453 1.271499
3454 1.273887
3455 1.276245
3456 1.27857
3457 1.280859
3458 1.283116
3459 1.285334
3460 1.287515
3461 1.289654
3462 1.291752
3463 1.293805
3464 1.295817
3465 1.297784
3466 1.299705
3467 1.301581
3468 1.30341
3469 1.305191
3470 1.306926
3471 1.308611
3472 1.310249
3473 1.311839
3474 1.313376
3475 1.314866
3476 1.316305
3477 1.317695
3478 1.319039
3479 1.320333
3480 1.321579
3481 1.323052
3482 1.32445
3483 1.325775
3484 1.325948
3485 1.326113
3486 1.3263
3487 1.326525
3488 1.326799
3489 1.327127
3490 1.327526
3491 1.328008
3492 1.328588
3493 1.329278
3494 1.330034
3495 1.330817
3496 1.331559
3497 1.332261
3498 1.332926
3499 1.333552
3500 1.33414
3501 1.33469
3502 1.335207
3503 1.335689
3504 1.336134
3505 1.336547
3506 1.336925
3507 1.337272
3508 1.337588
3509 1.337871
3510 1.338123
3511 1.338406
3512 1.338631
3513 1.338806
3514 1.338933
3515 1.339012
3516 1.339046
3517 1.33904
3518 1.338995
3519 1.339013
3520 1.339023
3521 1.339031
3522 1.339029
3523 1.339029
3524 1.339023
3525 1.339003
3526 1.338974
3527 1.338922
3528 1.338843
3529 1.338736
3530 1.338596
3531 1.338438
3532 1.338265
3533 1.338076
3534 1.337872
3535 1.337655
3536 1.337419
3537 1.337176
3538 1.337163
3539 1.337145
3540 1.337121
3541 1.337087
3542 1.337052
3543 1.337006
3544 1.336946
3545 1.336869
3546 1.33677
3547 1.336651
3548 1.336509
3549 1.33635
3550 1.336169
3551 1.335964
3552 1.335945
3553 1.335927
3554 1.335903
3555 1.335869
3556 1.335827
3557 1.335773
3558 1.335705
3559 1.335619
3560 1.33551
3561 1.33537
3562 1.335207
3563 1.335027
3564 1.334843
3565 1.334659
3566 1.334474
3567 1.334285
3568 1.334096
3569 1.333905
3570 1.333712
3571 1.33347
3572 1.333225
3573 1.332975
3574 1.332729
3575 1.332479
3576 1.332233
3577 1.33198
3578 1.331732
3579 1.331481
3580 1.33123
3581 1.330979
3582 1.330729
3583 1.330478
3584 1.330229
3585 1.32998
3586 1.329735
3587 1.32971
3588 1.329686
3589 1.329657
3590 1.32962
3591 1.329569
3592 1.329509
3593 1.329434
3594 1.32934
3595 1.329219
3596 1.329071
3597 1.328904
3598 1.328721
3599 1.328539
3600 1.328357
3601 1.32813
3602 1.327902
3603 1.327678
3604 1.327458
3605 1.327237
3606 1.327025
3607 1.326807
3608 1.3266
3609 1.326393
3610 1.326188
3611 1.325982
3612 1.325786
3613 1.325589
3614 1.325397
3615 1.325212
3616 1.325025
3617 1.324841
3618 1.324664
3619 1.324491
3620 1.324319
3621 1.324155
3622 1.323991
3623 1.323831
3624 1.323677
3625 1.323526
3626 1.32338
3627 1.323238
3628 1.323098
3629 1.322964
3630 1.322838
3631 1.322676
3632 1.322525
3633 1.32238
3634 1.322245
3635 1.322117
3636 1.322003
3637 1.32189
3638 1.321789
3639 1.321693
3640 1.321609
3641 1.321531
3642 1.321463
3643 1.321403
3644 1.32135
3645 1.321308
3646 1.321272
3647 1.32125
3648 1.321231
3649 1.321222
3650 1.321222
3651 1.32122
3652 1.321216
3653 1.321214
3654 1.321211
3655 1.321212
3656 1.32121
3657 1.321208
3658 1.321209
3659 1.321213
3660 1.321218
3661 1.321224
3662 1.321233
3663 1.321248
3664 1.321267
3665 1.321289
3666 1.321318
3667 1.321355
3668 1.321394
3669 1.321468
3670 1.321474
3671 1.321478
3672 1.321485
3673 1.321494
3674 1.321508
3675 1.321524
3676 1.321547
3677 1.321579
3678 1.321619
3679 1.321675
3680 1.321733
3681 1.321795
3682 1.321865
3683 1.32194
3684 1.32202
3685 1.322106
3686 1.322201
3687 1.322298
3688 1.322401
3689 1.32251
3690 1.322624
3691 1.322742
3692 1.322867
3693 1.322997
3694 1.323128
3695 1.323267
3696 1.32341
3697 1.323557
3698 1.323709
3699 1.323866
3700 1.324027
3701 1.32419
3702 1.324359
3703 1.324533
3704 1.324713
3705 1.324896
3706 1.32508
3707 1.325272
3708 1.325464
3709 1.325666
3710 1.325936
3711 1.326216
3712 1.326501
3713 1.326792
3714 1.327088
3715 1.32739
3716 1.327698
3717 1.32801
3718 1.328329
3719 1.328652
3720 1.32898
3721 1.329435
3722 1.329898
3723 1.330367
3724 1.330842
3725 1.331325
3726 1.331817
3727 1.332313
3728 1.332815
3729 1.333323
3730 1.333839
3731 1.334358
3732 1.334882
3733 1.335409
3734 1.335941
3735 1.336478
3736 1.337018
3737 1.337559
3738 1.338106
3739 1.338655
3740 1.339205
3741 1.339756
3742 1.340313
3743 1.340869
3744 1.341426
3745 1.341985
3746 1.342543
3747 1.343103
3748 1.343663
3749 1.343719
3750 1.343773
3751 1.343844
3752 1.343931
3753 1.344042
3754 1.344179
3755 1.344349
3756 1.344563
3757 1.344833
3758 1.345167
3759 1.345552
3760 1.345972
3761 1.34655
3762 1.347127
3763 1.347703
3764 1.348276
3765 1.348848
3766 1.349417
3767 1.349985
3768 1.35055
3769 1.351114
3770 1.351673
3771 1.35223
3772 1.352788
3773 1.353338
3774 1.353889
3775 1.354435
3776 1.354978
3777 1.355516
3778 1.356053
3779 1.356585
3780 1.357113
3781 1.357796
3782 1.358473
3783 1.359142
3784 1.359806
3785 1.360458
3786 1.361102
3787 1.36174
3788 1.362368
3789 1.362987
3790 1.363597
3791 1.364205
3792 1.364798
3793 1.365383
3794 1.365959
3795 1.366526
3796 1.367084
3797 1.367628
3798 1.368164
3799 1.36869
3800 1.369205
3801 1.369707
3802 1.370201
3803 1.370682
3804 1.371153
3805 1.371608
3806 1.372056
3807 1.372492
3808 1.372914
3809 1.373323
3810 1.373722
3811 1.373775
3812 1.373826
3813 1.373885
3814 1.373964
3815 1.374057
3816 1.374171
3817 1.374315
3818 1.374492
3819 1.374706
3820 1.374966
3821 1.375251
3822 1.375553
3823 1.375842
3824 1.37612
3825 1.376385
3826 1.376641
3827 1.376885
3828 1.377117
3829 1.377339
3830 1.377546
3831 1.377741
3832 1.377927
3833 1.378103
3834 1.378262
3835 1.37841
3836 1.378548
3837 1.378672
3838 1.378786
3839 1.378885
3840 1.378973
3841 1.379048
3842 1.379109
3843 1.379162
3844 1.3792
3845 1.379223
3846 1.379237
3847 1.379235
3848 1.379223
3849 1.379201
3850 1.379163
3851 1.379116
3852 1.379053
3853 1.378981
3854 1.378896
3855 1.378799
3856 1.37869
3857 1.378567
3858 1.378435
3859 1.378293
3860 1.378135
3861 1.37797
3862 1.377793
3863 1.377606
3864 1.377407
3865 1.377197
3866 1.376977
3867 1.376749
3868 1.376509
3869 1.376257
3870 1.376
3871 1.37573
3872 1.375453
3873 1.375166
3874 1.374871
3875 1.374568
3876 1.374256
3877 1.373935
3878 1.373907
3879 1.373878
3880 1.37384
3881 1.373792
3882 1.373732
3883 1.373653
3884 1.373556
3885 1.373431
3886 1.373276
3887 1.373075
3888 1.372842
3889 1.372579
3890 1.372314
3891 1.372047
3892 1.37177
3893 1.371495
3894 1.371216
3895 1.370932
3896 1.370649
3897 1.37036
3898 1.370065
3899 1.369773
3900 1.369475
3901 1.369145
3902 1.368816
3903 1.368479
3904 1.368144
3905 1.367803
3906 1.367461
3907 1.367119
3908 1.366773
3909 1.366425
3910 1.36608
3911 1.36573
3912 1.365378
3913 1.365026
3914 1.364676
3915 1.364322
3916 1.363968
3917 1.363616
3918 1.363261
3919 1.362905
3920 1.362552
3921 1.362196
3922 1.361842
3923 1.361489
3924 1.361136
3925 1.360783
3926 1.36043
3927 1.36008
3928 1.359731
3929 1.359382
3930 1.359032
3931 1.358622
3932 1.358213
3933 1.357808
3934 1.357404
3935 1.357005
3936 1.356605
3937 1.356211
3938 1.355819
3939 1.355431
3940 1.355044
3941 1.354662
3942 1.354285
3943 1.353908
3944 1.353537
3945 1.35317
3946 1.352807
3947 1.352446
3948 1.352091
3949 1.35174
3950 1.351394
3951 1.35105
3952 1.350711
3953 1.350377
3954 1.350047
3955 1.34972
3956 1.3494
3957 1.349084
3958 1.348768
3959 1.348457
3960 1.348154
3961 1.347768
3962 1.347394
3963 1.347025
3964 1.346661
3965 1.346304
3966 1.345955
3967 1.345612
3968 1.345273
3969 1.344941
3970 1.344616
3971 1.344297
3972 1.343982
3973 1.343674
3974 1.343371
3975 1.343074
3976 1.342783
3977 1.342498
3978 1.342217
3979 1.34194
3980 1.341671
3981 1.341404
3982 1.341143
3983 1.340885
3984 1.340858
3985 1.340831
3986 1.340799
3987 1.340757
3988 1.340718
3989 1.340667
3990 1.340603
3991 1.340527
3992 1.34043
3993 1.340318
3994 1.340189
3995 1.340052
3996 1.339897
3997 1.339731
3998 1.339568
3999 1.339404
4000 1.339244
4001 1.339079
4002 1.338921
4003 1.33876
4004 1.338603
4005 1.338446
4006 1.338291
4007 1.338136
4008 1.337985
4009 1.337832
4010 1.33768
4011 1.337527
4012 1.337376
4013 1.337225
4014 1.337075
4015 1.336923
4016 1.336727
4017 1.336531
4018 1.336335
4019 1.33614
4020 1.335949
4021 1.335923
4022 1.335899
4023 1.335868
4024 1.33583
4025 1.335784
4026 1.335725
4027 1.335652
4028 1.335564
4029 1.335452
4030 1.335312
4031 1.335152
4032 1.33498
4033 1.334805
4034 1.334633
4035 1.334458
4036 1.334288
4037 1.334111
4038 1.333942
4039 1.333768
4040 1.333593
4041 1.33342
4042 1.333244
4043 1.333067
4044 1.332891
4045 1.332713
4046 1.332533
4047 1.332352
4048 1.332173
4049 1.331988
4050 1.331802
4051 1.331574
4052 1.331338
4053 1.331101
4054 1.330859
4055 1.330832
4056 1.330808
4057 1.330776
4058 1.330737
4059 1.33069
4060 1.330628
4061 1.330569
4062 1.330496
4063 1.330408
4064 1.330306
4065 1.330196
4066 1.330065
4067 1.329921
4068 1.329765
4069 1.329594
4070 1.329409
4071 1.329206
4072 1.329
4073 1.328793
4074 1.328585
4075 1.328373
4076 1.32816
4077 1.327945
4078 1.327728
4079 1.327506
4080 1.327281
4081 1.327001
4082 1.326716
4083 1.326425
4084 1.326131
4085 1.325829
4086 1.325523
4087 1.325212
4088 1.324895
4089 1.324571
4090 1.324542
4091 1.324509
4092 1.324469
4093 1.324419
4094 1.324356
4095 1.324277
4096 1.324175
4097 1.324051
4098 1.323894
4099 1.323687
4100 1.323452
4101 1.323187
4102 1.322923
4103 1.32265
4104 1.322374
4105 1.322095
4106 1.321808
4107 1.321519
4108 1.321228
4109 1.320929
4110 1.320627
4111 1.32027
4112 1.319904
4113 1.319531
4114 1.319154
4115 1.318772
4116 1.318381
4117 1.317985
4118 1.317584
4119 1.317172
4120 1.316758
4121 1.316338
4122 1.315909
4123 1.315477
4124 1.315038
4125 1.314591
4126 1.31414
4127 1.313683
4128 1.313219
4129 1.313173
4130 1.313127
4131 1.31307
4132 1.312999
4133 1.312909
4134 1.312796
4135 1.312655
4136 1.312476
4137 1.312253
4138 1.31197
4139 1.311639
4140 1.311279
4141 1.310913
4142 1.310544
4143 1.310174
4144 1.309798
4145 1.309422
4146 1.309043
4147 1.308658
4148 1.308271
4149 1.307888
4150 1.307497
4151 1.307102
4152 1.30671
4153 1.30631
4154 1.305909
4155 1.305506
4156 1.305102
4157 1.304696
4158 1.304285
4159 1.303874
4160 1.303464
4161 1.303051
4162 1.302632
4163 1.302216
4164 1.301795
4165 1.301376
4166 1.300952
4167 1.300528
4168 1.300105
4169 1.299679
4170 1.299251
4171 1.298823
4172 1.298395
4173 1.297964
4174 1.297534
4175 1.297104
4176 1.296671
4177 1.29624
4178 1.295806
4179 1.295372
4180 1.29494
4181 1.294507
4182 1.294072
4183 1.293635
4184 1.293203
4185 1.292766
4186 1.292331
4187 1.291897
4188 1.291459
4189 1.291025
4190 1.29059
4191 1.290151
4192 1.289717
4193 1.289283
4194 1.288848
4195 1.288413
4196 1.287979
4197 1.287545
4198 1.287114
4199 1.286682
4200 1.28625
4201 1.285819
4202 1.285392
4203 1.284964
4204 1.284536
4205 1.284109
4206 1.283683
4207 1.283257
4208 1.282836
4209 1.282413
4210 1.281991
4211 1.281573
4212 1.281154
4213 1.280737
4214 1.280319
4215 1.279904
4216 1.27949
4217 1.279077
4218 1.278668
4219 1.278258
4220 1.27785
4221 1.277444
4222 1.27704
4223 1.276635
4224 1.276234
4225 1.275835
4226 1.275437
4227 1.27504
4228 1.274644
4229 1.274249
4230 1.273857
4231 1.273402
4232 1.272952
4233 1.272501
4234 1.272055
4235 1.27161
4236 1.271167
4237 1.270723
4238 1.270283
4239 1.269841
4240 1.269406
4241 1.268969
4242 1.268537
4243 1.268103
4244 1.267672
4245 1.267243
4246 1.266816
4247 1.266388
4248 1.265964
4249 1.26554
4250 1.265117
4251 1.264696
4252 1.264277
4253 1.263859
4254 1.263442
4255 1.263025
4256 1.262611
4257 1.2622
4258 1.261784
4259 1.261371
4260 1.260961
4261 1.260469
4262 1.259979
4263 1.259489
4264 1.258999
4265 1.258511
4266 1.258026
4267 1.257539
4268 1.257056
4269 1.256572
4270 1.256092
4271 1.25561
4272 1.25513
4273 1.254651
4274 1.254173
4275 1.253694
4276 1.253221
4277 1.252744
4278 1.252696
4279 1.252648
4280 1.252589
4281 1.252514
4282 1.252442
4283 1.252347
4284 1.252231
4285 1.252087
4286 1.251904
4287 1.251689
4288 1.251446
4289 1.251173
4290 1.250876
4291 1.250552
4292 1.2502
4293 1.249794
4294 1.249392
4295 1.248989
4296 1.24859
4297 1.248189
4298 1.247793
4299 1.247396
4300 1.247001
4301 1.246608
4302 1.246215
4303 1.245824
4304 1.245433
4305 1.245045
4306 1.244658
4307 1.244275
4308 1.244237
4309 1.244199
4310 1.24415
4311 1.244089
4312 1.244013
4313 1.243917
4314 1.2438
4315 1.243653
4316 1.243469
4317 1.243243
4318 1.24298
4319 1.242694
4320 1.242413
4321 1.242119
4322 1.241828
4323 1.241539
4324 1.241251
4325 1.240964
4326 1.240678
4327 1.240394
4328 1.240112
4329 1.239832
4330 1.239552
4331 1.239274
4332 1.238997
4333 1.238724
4334 1.238451
4335 1.238178
4336 1.23791
4337 1.237641
4338 1.237376
4339 1.237111
4340 1.236848
4341 1.236588
4342 1.236329
4343 1.236073
4344 1.235816
4345 1.23579
4346 1.235762
4347 1.235731
4348 1.23569
4349 1.235639
4350 1.235577
4351 1.235498
4352 1.235403
4353 1.235282
4354 1.23513
4355 1.234959
4356 1.234772
4357 1.234569
4358 1.234369
4359 1.23417
4360 1.233972
4361 1.233773
4362 1.233578
4363 1.233383
4364 1.233192
4365 1.233001
4366 1.232809
4367 1.232623
4368 1.232435
4369 1.23225
4370 1.232066
4371 1.231885
4372 1.231706
4373 1.231526
4374 1.231349
4375 1.231174
4376 1.231
4377 1.230826
4378 1.230656
4379 1.230486
4380 1.230317
4381 1.230152
4382 1.229987
4383 1.229824
4384 1.229662
4385 1.229499
4386 1.229341
4387 1.229186
4388 1.229028
4389 1.228874
4390 1.22872
4391 1.228568
4392 1.228418
4393 1.228267
4394 1.228121
4395 1.227976
4396 1.227829
4397 1.227686
4398 1.227544
4399 1.227404
4400 1.227265
4401 1.227126
4402 1.226991
4403 1.226856
4404 1.226721
4405 1.22659
4406 1.226461
4407 1.226331
4408 1.226204
4409 1.226077
4410 1.225951
4411 1.225784
4412 1.225622
4413 1.22546
4414 1.225302
4415 1.225147
4416 1.224996
4417 1.224847
4418 1.224702
4419 1.224557
4420 1.224415
4421 1.224277
4422 1.224141
4423 1.224009
4424 1.223879
4425 1.223749
4426 1.223624
4427 1.223502
4428 1.223382
4429 1.223265
4430 1.223151
4431 1.223038
4432 1.222931
4433 1.222825
4434 1.222723
4435 1.22262
4436 1.222525
