"cl-rfile"
"Iteration" "cl"
("Iteration" "cl")
3199 0.6173764
3200 0.6171657
3201 0.6165001
3202 0.615828
3203 0.615148
3204 0.6144612
3205 0.6137669
3206 0.6130668
3207 0.6123601
3208 0.6116483
3209 0.610931
3210 0.6102063
3211 0.6094776
3212 0.6087435
3213 0.6080042
3214 0.6072587
3215 0.6065106
3216 0.6057559
3217 0.604997
3218 0.6042337
3219 0.6034653
3220 0.602694
3221 0.6019195
3222 0.6011397
3223 0.6003569
3224 0.5995709
3225 0.5987815
3226 0.5979884
3227 0.597193
3228 0.5963942
3229 0.5955924
3230 0.5947875
3231 0.5939814
3232 0.593173
3233 0.5923623
3234 0.591549
3235 0.5907351
3236 0.589919
3237 0.5891005
3238 0.5882822
3239 0.5874609
3240 0.5866391
3241 0.5858155
3242 0.5849929
3243 0.5841684
3244 0.583343
3245 0.5825174
3246 0.5816905
3247 0.580864
3248 0.5800362
3249 0.579209
3250 0.5783814
3251 0.5775533
3252 0.5767255
3253 0.5758979
3254 0.5750706
3255 0.5742428
3256 0.5734156
3257 0.5725888
3258 0.5717623
3259 0.5709361
3260 0.5701113
3261 0.5692863
3262 0.5684624
3263 0.5676394
3264 0.5668166
3265 0.5659944
3266 0.5651742
3267 0.5643542
3268 0.5635356
3269 0.5627187
3270 0.5619024
3271 0.5610867
3272 0.5602736
3273 0.5594611
3274 0.5586494
3275 0.5578403
3276 0.5570321
3277 0.556226
3278 0.5561485
3279 0.5560678
3280 0.555967
3281 0.5558409
3282 0.555716
3283 0.555558
3284 0.5553604
3285 0.5551142
3286 0.5548064
3287 0.5544412
3288 0.5540295
3289 0.5535712
3290 0.5530649
3291 0.5525125
3292 0.5519146
3293 0.5513175
3294 0.5507205
3295 0.5501269
3296 0.5495328
3297 0.5489399
3298 0.5483494
3299 0.5477595
3300 0.5471714
3301 0.5465172
3302 0.5458636
3303 0.5452123
3304 0.5445623
3305 0.5439161
3306 0.5432705
3307 0.5426265
3308 0.5419853
3309 0.541346
3310 0.5407093
3311 0.5400739
3312 0.5394415
3313 0.538811
3314 0.5381838
3315 0.5375572
3316 0.5369335
3317 0.5363127
3318 0.5356948
3319 0.5350794
3320 0.5344664
3321 0.5338557
3322 0.5332477
3323 0.5326425
3324 0.5320406
3325 0.531441
3326 0.5308457
3327 0.5302515
3328 0.5296612
3329 0.5290722
3330 0.5284883
3331 0.5277953
3332 0.5271057
3333 0.5264205
3334 0.5257412
3335 0.525067
3336 0.5243964
3337 0.523732
3338 0.5230725
3339 0.5224179
3340 0.5217686
3341 0.5211255
3342 0.5204864
3343 0.5198525
3344 0.5192263
3345 0.5186055
3346 0.517989
3347 0.5173789
3348 0.5167753
3349 0.5161772
3350 0.5155854
3351 0.5149997
3352 0.5144211
3353 0.5138487
3354 0.5132827
3355 0.5127227
3356 0.5121706
3357 0.5116246
3358 0.5110856
3359 0.5105541
3360 0.5100291
3361 0.5093741
3362 0.5087317
3363 0.5080996
3364 0.5074825
3365 0.5068761
3366 0.5062835
3367 0.5057033
3368 0.5051382
3369 0.5045843
3370 0.5040458
3371 0.5035214
3372 0.5030103
3373 0.5025151
3374 0.5020338
3375 0.5015669
3376 0.5011141
3377 0.5006781
3378 0.5002571
3379 0.4998524
3380 0.499463
3381 0.4990896
3382 0.498733
3383 0.4983936
3384 0.4980709
3385 0.4977632
3386 0.4974742
3387 0.497202
3388 0.4969468
3389 0.4967108
3390 0.4964925
3391 0.4962448
3392 0.4960301
3393 0.4958492
3394 0.4957014
3395 0.4955879
3396 0.49551
3397 0.4954646
3398 0.4954554
3399 0.4954799
3400 0.4955385
3401 0.4956326
3402 0.495761
3403 0.4959242
3404 0.4961217
3405 0.4963552
3406 0.4966228
3407 0.4969216
3408 0.4972562
3409 0.4976229
3410 0.4980235
3411 0.4984551
3412 0.49892
3413 0.4994159
3414 0.4999425
3415 0.5004989
3416 0.5010868
3417 0.5017033
3418 0.5023487
3419 0.5030211
3420 0.5037199
3421 0.5046812
3422 0.5056824
3423 0.5067219
3424 0.5077978
3425 0.5089082
3426 0.5100529
3427 0.5112274
3428 0.5124318
3429 0.5136631
3430 0.5149211
3431 0.5162011
3432 0.5175046
3433 0.5188269
3434 0.5201662
3435 0.5215226
3436 0.5228916
3437 0.5242745
3438 0.5256674
3439 0.5270678
3440 0.5284768
3441 0.5298903
3442 0.5313066
3443 0.5327247
3444 0.534144
3445 0.535561
3446 0.5369752
3447 0.5383841
3448 0.5397879
3449 0.5411857
3450 0.5425735
3451 0.5439525
3452 0.5453197
3453 0.5466759
3454 0.5480188
3455 0.5493475
3456 0.5506614
3457 0.551959
3458 0.55324
3459 0.5545051
3460 0.5557506
3461 0.5569773
3462 0.5581846
3463 0.5593717
3464 0.5605386
3465 0.561684
3466 0.5628085
3467 0.5639105
3468 0.5649915
3469 0.5660487
3470 0.5670832
3471 0.5680949
3472 0.569084
3473 0.5700489
3474 0.5709901
3475 0.5719064
3476 0.5728008
3477 0.5736703
3478 0.5745165
3479 0.5753388
3480 0.5761377
3481 0.577098
3482 0.5780229
3483 0.5789089
3484 0.5790173
3485 0.5791212
3486 0.579244
3487 0.5793928
3488 0.5795724
3489 0.5797924
3490 0.5800607
3491 0.5803874
3492 0.5807849
3493 0.581265
3494 0.581797
3495 0.5823568
3496 0.5828972
3497 0.5834186
3498 0.5839198
3499 0.5844018
3500 0.5848651
3501 0.5853103
3502 0.585737
3503 0.5861456
3504 0.5865366
3505 0.58691
3506 0.587266
3507 0.5876053
3508 0.5879291
3509 0.5882367
3510 0.5885264
3511 0.5888957
3512 0.589235
3513 0.5895494
3514 0.5898359
3515 0.590099
3516 0.5903364
3517 0.5905511
3518 0.5907446
3519 0.590776
3520 0.5908045
3521 0.590837
3522 0.5908728
3523 0.5909149
3524 0.5909623
3525 0.5910209
3526 0.5910861
3527 0.5911621
3528 0.591248
3529 0.5913374
3530 0.5914202
3531 0.5914972
3532 0.591563
3533 0.5916203
3534 0.5916675
3535 0.5917079
3536 0.5917386
3537 0.5917625
3538 0.5917714
3539 0.5917778
3540 0.5917836
3541 0.5917909
3542 0.5917961
3543 0.5918027
3544 0.5918089
3545 0.5918147
3546 0.5918201
3547 0.5918242
3548 0.5918263
3549 0.5918273
3550 0.5918255
3551 0.59182
3552 0.5918223
3553 0.5918241
3554 0.5918247
3555 0.5918245
3556 0.5918249
3557 0.5918226
3558 0.5918215
3559 0.5918175
3560 0.5918117
3561 0.5918035
3562 0.5917915
3563 0.5917765
3564 0.5917603
3565 0.5917424
3566 0.5917249
3567 0.5917041
3568 0.5916828
3569 0.5916602
3570 0.5916361
3571 0.5916036
3572 0.5915698
3573 0.5915351
3574 0.5914977
3575 0.591459
3576 0.5914207
3577 0.5913805
3578 0.5913392
3579 0.5912967
3580 0.5912529
3581 0.5912095
3582 0.5911652
3583 0.59112
3584 0.5910742
3585 0.5910288
3586 0.5909817
3587 0.590978
3588 0.5909753
3589 0.5909703
3590 0.5909633
3591 0.590955
3592 0.590944
3593 0.5909293
3594 0.5909101
3595 0.5908888
3596 0.5908591
3597 0.5908262
3598 0.5907907
3599 0.5907546
3600 0.5907196
3601 0.5906731
3602 0.5906289
3603 0.5905846
3604 0.5905403
3605 0.5904975
3606 0.590456
3607 0.5904133
3608 0.5903721
3609 0.5903317
3610 0.5902931
3611 0.590254
3612 0.5902164
3613 0.5901788
3614 0.5901434
3615 0.5901078
3616 0.590074
3617 0.5900413
3618 0.5900098
3619 0.5899804
3620 0.5899509
3621 0.5899239
3622 0.5898976
3623 0.5898727
3624 0.589848
3625 0.5898257
3626 0.5898053
3627 0.5897861
3628 0.5897673
3629 0.5897519
3630 0.5897363
3631 0.5897219
3632 0.5897112
3633 0.5897009
3634 0.5896947
3635 0.5896919
3636 0.5896923
3637 0.5896958
3638 0.5897037
3639 0.5897123
3640 0.589726
3641 0.5897427
3642 0.5897632
3643 0.5897856
3644 0.5898113
3645 0.5898426
3646 0.5898767
3647 0.5899135
3648 0.5899534
3649 0.5899983
3650 0.5900452
3651 0.5900487
3652 0.5900524
3653 0.5900571
3654 0.5900639
3655 0.5900713
3656 0.5900832
3657 0.5900984
3658 0.5901128
3659 0.5901309
3660 0.5901505
3661 0.5901751
3662 0.5902027
3663 0.5902333
3664 0.5902669
3665 0.5903062
3666 0.5903501
3667 0.5903974
3668 0.5904514
3669 0.5905309
3670 0.5905368
3671 0.5905443
3672 0.5905529
3673 0.5905643
3674 0.5905791
3675 0.5905986
3676 0.5906233
3677 0.5906556
3678 0.5906959
3679 0.5907492
3680 0.590802
3681 0.5908596
3682 0.5909194
3683 0.5909817
3684 0.5910475
3685 0.5911167
3686 0.5911903
3687 0.5912661
3688 0.591344
3689 0.5914235
3690 0.591507
3691 0.5915919
3692 0.5916802
3693 0.5917699
3694 0.5918614
3695 0.5919556
3696 0.5920522
3697 0.5921505
3698 0.5922506
3699 0.5923523
3700 0.5924564
3701 0.5925624
3702 0.592671
3703 0.5927812
3704 0.5928937
3705 0.5930067
3706 0.5931227
3707 0.5932405
3708 0.5933601
3709 0.5934817
3710 0.5936457
3711 0.5938141
3712 0.5939847
3713 0.5941575
3714 0.5943332
3715 0.5945111
3716 0.5946916
3717 0.594875
3718 0.5950598
3719 0.5952485
3720 0.595438
3721 0.5956995
3722 0.5959651
3723 0.596234
3724 0.5965061
3725 0.5967823
3726 0.5970601
3727 0.5973425
3728 0.5976269
3729 0.5979158
3730 0.5982057
3731 0.5984987
3732 0.5987945
3733 0.599093
3734 0.5993925
3735 0.5996946
3736 0.5999985
3737 0.6003048
3738 0.6006116
3739 0.60092
3740 0.6012309
3741 0.6015422
3742 0.6018566
3743 0.6021721
3744 0.6024861
3745 0.6028031
3746 0.6031185
3747 0.6034381
3748 0.6037568
3749 0.6037888
3750 0.6038201
3751 0.6038582
3752 0.6039085
3753 0.6039704
3754 0.6040476
3755 0.604145
3756 0.6042681
3757 0.6044204
3758 0.6046127
3759 0.6048304
3760 0.6050717
3761 0.6054036
3762 0.6057361
3763 0.6060686
3764 0.6063995
3765 0.6067304
3766 0.607062
3767 0.6073923
3768 0.6077217
3769 0.6080516
3770 0.6083816
3771 0.6087093
3772 0.6090372
3773 0.6093641
3774 0.6096905
3775 0.6100172
3776 0.6103419
3777 0.6106631
3778 0.6109875
3779 0.6113083
3780 0.6116283
3781 0.612047
3782 0.6124613
3783 0.6128728
3784 0.6132818
3785 0.6136895
3786 0.6140923
3787 0.6144926
3788 0.6148905
3789 0.6152853
3790 0.6156774
3791 0.6160653
3792 0.6164498
3793 0.6168306
3794 0.6172078
3795 0.6175804
3796 0.6179506
3797 0.6183156
3798 0.6186762
3799 0.6190329
3800 0.6193842
3801 0.6197324
