"cm-rfile"
"Iteration" "cm"
("Iteration" "cm")
3199 0.008665728
3200 0.009105937
3201 0.009599858
3202 0.01009423
3203 0.01059017
3204 0.01108547
3205 0.01157964
3206 0.01207286
3207 0.01256582
3208 0.0130564
3209 0.01354553
3210 0.01403336
3211 0.01452022
3212 0.01500553
3213 0.015489
3214 0.01597055
3215 0.01645148
3216 0.01693134
3217 0.01740823
3218 0.01788427
3219 0.0183583
3220 0.01883204
3221 0.01930308
3222 0.01977342
3223 0.02024205
3224 0.02070894
3225 0.02117466
3226 0.02163784
3227 0.02210013
3228 0.02256021
3229 0.02301897
3230 0.02347546
3231 0.02393055
3232 0.02438387
3233 0.02483515
3234 0.02528379
3235 0.02573011
3236 0.02617478
3237 0.02661736
3238 0.02705771
3239 0.02749609
3240 0.02793144
3241 0.02836477
3242 0.02879566
3243 0.02922361
3244 0.02964954
3245 0.03007231
3246 0.03049354
3247 0.03091091
3248 0.03132608
3249 0.03173841
3250 0.0321487
3251 0.03255586
3252 0.03295954
3253 0.03336142
3254 0.03375965
3255 0.0341558
3256 0.03454894
3257 0.03493936
3258 0.03532713
3259 0.0357118
3260 0.03609395
3261 0.03647327
3262 0.03684967
3263 0.03722287
3264 0.037594
3265 0.03796163
3266 0.03832713
3267 0.0386899
3268 0.03904909
3269 0.03940603
3270 0.03976002
3271 0.0401119
3272 0.04046065
3273 0.04080762
3274 0.04115148
3275 0.04149225
3276 0.04183103
3277 0.04216723
3278 0.04219404
3279 0.04222955
3280 0.04227369
3281 0.04232688
3282 0.04238051
3283 0.04244646
3284 0.04252872
3285 0.04263039
3286 0.04275793
3287 0.04290772
3288 0.04307641
3289 0.04326308
3290 0.04346929
3291 0.04369305
3292 0.0439353
3293 0.04417567
3294 0.04441427
3295 0.04465196
3296 0.0448883
3297 0.04512341
3298 0.04535674
3299 0.04558998
3300 0.04582119
3301 0.04607921
3302 0.04633424
3303 0.04658825
3304 0.04684019
3305 0.04709117
3306 0.04734098
3307 0.0475886
3308 0.04783455
3309 0.04808002
3310 0.04832333
3311 0.04856509
3312 0.04880606
3313 0.04904501
3314 0.04928321
3315 0.04951999
3316 0.04975521
3317 0.04998941
3318 0.05022264
3319 0.05045429
3320 0.05068445
3321 0.0509142
3322 0.05114263
3323 0.05136893
3324 0.05159497
3325 0.0518196
3326 0.05204334
3327 0.05226609
3328 0.05248789
3329 0.05270892
3330 0.05292831
3331 0.05319116
3332 0.05345113
3333 0.05370926
3334 0.0539668
3335 0.054222
3336 0.05447657
3337 0.05472924
3338 0.05498076
3339 0.05523164
3340 0.05548156
3341 0.05573021
3342 0.05597901
3343 0.05622576
3344 0.05647201
3345 0.05671701
3346 0.05696163
3347 0.05720527
3348 0.0574482
3349 0.0576903
3350 0.05793139
3351 0.05817259
3352 0.05841263
3353 0.05865199
3354 0.05889112
3355 0.05912902
3356 0.05936692
3357 0.05960409
3358 0.05984014
3359 0.06007626
3360 0.06031205
3361 0.06061738
3362 0.06092023
3363 0.06122264
3364 0.06152465
3365 0.06182645
3366 0.06212734
3367 0.06242742
3368 0.06272818
3369 0.06302836
3370 0.06332884
3371 0.06362925
3372 0.06393015
3373 0.06423212
3374 0.06453431
3375 0.0648372
3376 0.06514101
3377 0.06544567
3378 0.06575102
3379 0.0660575
3380 0.06636561
3381 0.06667472
3382 0.0669848
3383 0.06729669
3384 0.06760924
3385 0.0679232
3386 0.06823879
3387 0.06855598
3388 0.06887615
3389 0.06919749
3390 0.06952078
3391 0.06997135
3392 0.07042296
3393 0.07087842
3394 0.0713378
3395 0.07180166
3396 0.07227045
3397 0.07274388
3398 0.07322516
3399 0.0737121
3400 0.07420482
3401 0.07470588
3402 0.07521322
3403 0.07572741
3404 0.07624862
3405 0.07677796
3406 0.07731562
3407 0.0778616
3408 0.0784162
3409 0.07897955
3410 0.07955002
3411 0.08012871
3412 0.08071463
3413 0.08130823
3414 0.08191001
3415 0.08252162
3416 0.0831414
3417 0.08376912
3418 0.08440628
3419 0.08505211
3420 0.08570753
3421 0.0865809
3422 0.08746596
3423 0.0883641
3424 0.08927707
3425 0.09020385
3426 0.09114554
3427 0.09210279
3428 0.09307677
3429 0.09406678
3430 0.09507222
3431 0.09609271
3432 0.09712714
3433 0.09817636
3434 0.09924021
3435 0.1003178
3436 0.1014082
3437 0.1025121
3438 0.1036278
3439 0.1047552
3440 0.1058954
3441 0.1070456
3442 0.1082072
3443 0.1093787
3444 0.1105588
3445 0.1117478
3446 0.1129464
3447 0.1141524
3448 0.1153656
3449 0.1165842
3450 0.1178086
3451 0.1190386
3452 0.120272
3453 0.1215088
3454 0.1227486
3455 0.1239889
3456 0.1252316
3457 0.1264747
3458 0.1277188
3459 0.1289609
3460 0.1302022
3461 0.1314405
3462 0.1326783
3463 0.1339117
3464 0.1351409
3465 0.1363662
3466 0.1375854
3467 0.1387995
3468 0.1400066
3469 0.1412054
3470 0.1423991
3471 0.1435835
3472 0.1447601
3473 0.145928
3474 0.1470851
3475 0.1482344
3476 0.1493725
3477 0.1505004
3478 0.1516167
3479 0.1527201
3480 0.153812
3481 0.1551675
3482 0.1565028
3483 0.1578154
3484 0.1579559
3485 0.1580976
3486 0.1582709
3487 0.1584828
3488 0.1587437
3489 0.1590671
3490 0.1594659
3491 0.1599595
3492 0.160569
3493 0.1613201
3494 0.1621697
3495 0.1630841
3496 0.1639868
3497 0.1648757
3498 0.1657517
3499 0.1666134
3500 0.16746
3501 0.168293
3502 0.1691109
3503 0.1699132
3504 0.1706997
3505 0.1714722
3506 0.1722283
3507 0.1729693
3508 0.1736948
3509 0.1744042
3510 0.1750984
3511 0.1760302
3512 0.1769311
3513 0.1778013
3514 0.1786426
3515 0.1794538
3516 0.1802356
3517 0.1809881
3518 0.1817118
3519 0.1818062
3520 0.1818972
3521 0.182001
3522 0.1821242
3523 0.1822712
3524 0.1824511
3525 0.182668
3526 0.1829328
3527 0.1832535
3528 0.1836397
3529 0.1840684
3530 0.1845197
3531 0.1849568
3532 0.1853778
3533 0.1857852
3534 0.1861762
3535 0.1865523
3536 0.1869124
3537 0.1872565
3538 0.1873055
3539 0.1873522
3540 0.1874039
3541 0.1874634
3542 0.1875222
3543 0.1875923
3544 0.1876763
3545 0.187778
3546 0.1879016
3547 0.1880445
3548 0.1882014
3549 0.1883712
3550 0.188551
3551 0.1887417
3552 0.1887701
3553 0.1887965
3554 0.1888272
3555 0.1888621
3556 0.1889048
3557 0.1889558
3558 0.1890179
3559 0.1890933
3560 0.1891848
3561 0.1892956
3562 0.1894173
3563 0.1895471
3564 0.1896731
3565 0.1897945
3566 0.1899116
3567 0.1900246
3568 0.1901329
3569 0.1902385
3570 0.1903385
3571 0.1904548
3572 0.1905636
3573 0.1906661
3574 0.1907629
3575 0.1908531
3576 0.1909371
3577 0.1910146
3578 0.1910872
3579 0.1911523
3580 0.1912117
3581 0.1912657
3582 0.191314
3583 0.1913562
3584 0.1913913
3585 0.1914218
3586 0.1914468
3587 0.1914563
3588 0.1914632
3589 0.1914704
3590 0.1914768
3591 0.1914833
3592 0.19149
3593 0.1914975
3594 0.1915056
3595 0.1915125
3596 0.1915185
3597 0.1915236
3598 0.1915248
3599 0.191524
3600 0.1915209
3601 0.1915112
3602 0.1914961
3603 0.1914775
3604 0.1914545
3605 0.1914283
3606 0.1913965
3607 0.191361
3608 0.1913218
3609 0.1912792
3610 0.1912321
3611 0.1911806
3612 0.1911251
3613 0.1910672
3614 0.1910047
3615 0.1909394
3616 0.1908702
3617 0.1907966
3618 0.190721
3619 0.1906404
3620 0.190557
3621 0.1904704
3622 0.1903826
3623 0.1902908
3624 0.190196
3625 0.1900988
3626 0.189998
3627 0.1898944
3628 0.1897877
3629 0.1896795
3630 0.1895685
3631 0.1894173
3632 0.1892604
3633 0.1891016
3634 0.1889378
3635 0.1887713
3636 0.1886013
3637 0.1884264
3638 0.1882503
3639 0.1880696
3640 0.1878868
3641 0.1877007
3642 0.1875118
3643 0.1873213
3644 0.1871284
3645 0.1869317
3646 0.1867331
3647 0.1865339
3648 0.1863319
3649 0.1861266
3650 0.1859213
3651 0.1859014
3652 0.1858803
3653 0.1858546
3654 0.1858229
3655 0.1857831
3656 0.1857328
3657 0.1856703
3658 0.1856067
3659 0.185534
3660 0.1854517
3661 0.1853605
3662 0.1852587
3663 0.1851477
3664 0.1850255
3665 0.1848941
3666 0.1847526
3667 0.1846002
3668 0.184438
3669 0.1842095
3670 0.1841863
3671 0.1841638
3672 0.1841347
3673 0.1840986
3674 0.1840544
3675 0.1839986
3676 0.1839289
3677 0.1838418
3678 0.1837322
3679 0.1835956
3680 0.183458
3681 0.1833159
3682 0.1831704
3683 0.18302
3684 0.182867
3685 0.1827099
3686 0.1825485
3687 0.1823829
3688 0.182217
3689 0.1820499
3690 0.1818821
3691 0.1817119
3692 0.1815413
3693 0.1813714
3694 0.1811999
3695 0.1810266
3696 0.180853
3697 0.1806804
3698 0.1805074
3699 0.1803349
3700 0.1801624
3701 0.1799874
3702 0.1798141
3703 0.1796416
3704 0.1794683
3705 0.1792947
3706 0.1791224
3707 0.1789488
3708 0.178776
3709 0.1786035
3710 0.178377
3711 0.1781507
3712 0.177925
3713 0.1777014
3714 0.1774791
3715 0.1772575
3716 0.1770374
3717 0.1768181
3718 0.1766005
3719 0.1763839
3720 0.1761698
3721 0.1758869
3722 0.1756049
3723 0.1753262
