"p_max-rfile"
"Iteration" "p_max"
("Iteration" "p_max")
3199 338485.8
3200 338532.6
3201 338501.8
3202 338467.1
3203 338428.8
3204 338386.8
3205 338341.5
3206 338293
3207 338241.3
3208 338186.6
3209 338128.9
3210 338068.3
3211 338004.9
3212 337938.8
3213 337870
3214 337798.7
3215 337724.8
3216 337648.3
3217 337569.4
3218 337488.1
3219 337404.4
3220 337318.3
3221 337229.9
3222 337139.2
3223 337046.2
3224 336950.8
3225 336853.2
3226 336753.3
3227 336651.2
3228 336546.8
3229 336440
3230 336331.1
3231 336219.8
3232 336106.1
3233 335990.2
3234 335872
3235 335751.4
3236 335628.4
3237 335503.1
3238 335375.3
3239 335245.1
3240 335112.4
3241 334977.3
3242 334839.7
3243 334699.6
3244 334562.2
3245 334431.2
3246 334295.4
3247 334157.4
3248 334016.8
3249 333873.9
3250 333728.4
3251 333580.5
3252 333462.1
3253 333367.8
3254 333271.2
3255 333172
3256 333070.3
3257 332966.2
3258 332859.3
3259 332750
3260 332637.9
3261 332523.3
3262 332405.9
3263 332285.8
3264 332163
3265 332037.4
3266 331909
3267 331777.8
3268 331643.9
3269 331507
3270 331367.3
3271 331224.7
3272 331079.1
3273 330930.6
3274 330779.2
3275 330624.7
3276 330467.3
3277 330306.8
3278 330143.4
3279 330128
3280 330112.4
3281 330092.7
3282 330067.8
3283 330042.8
3284 330011.3
3285 329971.6
3286 329921.5
3287 329858.4
3288 329782.7
3289 329696.1
3290 329598.4
3291 329489.1
3292 329368
3293 329234.5
3294 329099.3
3295 328962.4
3296 328823.7
3297 328683.2
3298 328541
3299 328397
3300 328251.2
3301 328103.7
3302 327936.4
3303 327766.8
3304 327595.1
3305 327421.1
3306 327244.8
3307 327066.3
3308 326885.6
3309 326702.5
3310 326517.2
3311 326329.7
3312 326139.9
3313 325947.8
3314 325753.3
3315 325556.6
3316 325357.6
3317 325156.3
3318 324952.7
3319 324746.7
3320 324538.4
3321 324327.7
3322 324114.5
3323 323899
3324 323681.1
3325 323460.7
3326 323237.8
3327 323012.4
3328 322784.7
3329 322554.7
3330 322322.1
3331 322086.6
3332 321800.5
3333 321510.5
3334 321216.6
3335 320919.2
3336 320618.4
3337 320314.3
3338 320007.2
3339 319697.2
3340 319384.2
3341 319068.3
3342 318749.6
3343 318428
3344 318103.6
3345 317776.3
3346 317446.2
3347 317113.2
3348 316777.2
3349 316438.4
3350 316096.7
3351 315752
3352 315404.4
3353 315053.8
3354 314700.3
3355 314343.9
3356 313984.5
3357 313622.1
3358 313256.7
3359 312888.4
3360 312517.1
3361 312142.7
3362 311657.1
3363 311166.3
3364 310670.4
3365 310169.4
3366 309663.4
3367 309152.3
3368 308636.2
3369 308115.1
3370 307589
3371 307058
3372 306522.1
3373 305981.2
3374 305435.5
3375 304884.8
3376 304329.3
3377 303768.9
3378 303203.8
3379 302633.9
3380 302059.2
3381 301479.9
3382 300895.8
3383 300306.8
3384 299732.3
3385 299208.5
3386 298680.1
3387 298147.2
3388 297609.8
3389 297068
3390 296521.8
3391 295971.3
3392 295215.4
3393 294451.3
3394 293679.1
3395 292899
3396 292111
3397 291315.3
3398 290512
3399 289701.3
3400 288883.1
3401 288057.7
3402 287225.1
3403 286385.5
3404 285538.8
3405 284685.4
3406 283825.3
3407 282958.4
3408 282085.1
3409 281205.3
3410 280319.3
3411 279427.1
3412 278528.7
3413 277624.3
3414 276714
3415 275796.4
3416 274873.3
3417 273944.9
3418 273011.3
3419 272072.4
3420 271128.4
3421 270179.3
3422 268945.9
3423 267704.1
3424 266454.2
3425 265196.5
3426 263931.3
3427 262659
3428 261379.8
3429 260094.1
3430 258802
3431 257503.8
3432 256199.8
3433 254890.2
3434 253575.2
3435 252255.2
3436 250930.3
3437 249600.6
3438 248323.8
3439 247052.8
3440 245777.5
3441 244498.4
3442 243211.5
3443 241918.3
3444 240620.9
3445 239319.7
3446 238014.8
3447 236706.4
3448 236502.7
3449 236833.5
3450 237152.5
3451 237459.6
3452 237753.9
3453 238035.3
3454 238303.3
3455 238557.8
3456 238798.5
3457 239025.3
3458 239237.9
3459 239436.3
3460 239620.4
3461 240006.1
3462 240964.4
3463 241902.9
3464 242821.3
3465 243719.1
3466 244595.9
3467 245472.8
3468 246353.7
3469 247210.5
3470 248042.7
3471 248850.4
3472 249633.3
3473 250391.3
3474 251124.5
3475 251832.9
3476 252516.5
3477 253175.3
3478 253809.6
3479 254419.5
3480 255005.1
3481 255566.8
3482 256227.9
3483 256851.6
3484 257438.7
